"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS015833","MO1070100ALPR","Branson","Taney County","MO","Branson Police Department","Police","The Branson Police Department has installed 21 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015834","TX2080100ALPR","Snyder","Scurry County","TX","Snyder Police Department","Police","The Snyder Police Department has installed 21 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015835","XX0000119ALPR","Arlington","Tarrant County","TX","University of Texas at Arlington Police Department","Police","The University of Texas at Arlington Police Department has installed 20 Flock Safety automated license plate readers, according to data obtained in July 2025.","University","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015836","TX1010900ALPR","Humble","Harris County","TX","Humble Police Department","Police","The Humble Police Department has installed 20 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015837","AR0560200ALPR","Trumann","Poinsett County","AR","Trumann Police Department","Police","The Trumann Police Department has installed 20 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015838","TX0110200ALPR","Elgin","Bastrop County","TX","Elgin Police Department","Police","The Elgin Police Department has installed 19 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015839","TX0612900ALPR","Roanoke","Denton County","TX","Roanoke Police Department","Police","The Roanoke Police Department has installed 19 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015840","XX0000118ALPR","Houston","Harris County","TX","Rice University Police Department","Police","The Rice University Police Department has installed 17 Flock Safety automated license plate readers, according to data obtained in July 2025.","University","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015841","TX0611300ALPR","Little Elm","Denton County","TX","Little Elm Police Department","Police","The Little Elm Police Department has installed 17 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015842","TX1700700ALPR","Roman Forest","Montgomery County","TX","Roman Forest Police Department","Police","The Roman Forest Police Department has installed 17 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015843","TX0800000ALPR","Mount Vernon","Franklin County","TX","Franklin County Sheriff's Office","Sheriff","The Franklin County Sheriff's Office has installed 16 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015844","FL0130300ALPR","Florida City","Miami-Dade County","FL","Florida City Police Department","Police","The Florida City Police Department has installed 16 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015845","TX2201600ALPR","Hurst","Tarrant County","TX","Hurst Police Department","Police","The Hurst Police Department has installed 15 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015846","FL0051100ALPR","Titusville","Brevard County","FL","Titusville Police Department","Police","The Titusville Police Department has installed 15 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015847","TX0200900ALPR","Manvel","Brazoria County","TX","Manvel Police Department","Police","The Manvel Police Department has installed 14 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015848","TX1990100ALPR","Rockwall","Rockwall County","TX","Rockwall Police Department","Police","The Rockwall Police Department has installed 14 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015849","TX2202600ALPR","Watauga","Tarrant County","TX","Watauga Police Department","Police","The Watauga Police Department has installed 14 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015850","TX0840000ALPR","Galveston","Galveston County","TX","Galveston County Sheriff's Office","Sheriff","The Galveston County Sheriff's Office has installed 13 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015851","TX1590000ALPR","Stanton","Martin County","TX","Martin County Sheriff's Office","Sheriff","The Martin County Sheriff's Office has installed 13 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015852","TX0572800ALPR","Dallas","Dallas County","TX","University Texas at Dallas Police Department","Police","The University Texas at Dallas Police Department has installed 13 Flock Safety automated license plate readers, according to data obtained in July 2025.","University","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015853","TX1390000ALPR","Paris","Lamar County","TX","Lamar County Sheriff's Office","Sheriff","The Lamar County Sheriff's Office has installed 12 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015854","TX0270000ALPR","Burnet","Burnet County","TX","Burnet County Sheriff's Office","Sheriff","The Burnet County Sheriff's Office has installed 11 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015855","TX1290000ALPR","Kaufman","Kaufman County","TX","Kaufman County Sheriff's Office","Sheriff","The Kaufman County Sheriff's Office has installed 11 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015856","TX0710100ALPR","Anthony","El Paso County","TX","Anthony Police Department","Police","The Anthony Police Department has installed 11 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015857","TX1701700ALPR","Montgomery","Montgomery County","TX","Montgomery Police Department","Police","The Montgomery Police Department has installed 11 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015858","TX2202300ALPR","River Oaks","Tarrant County","TX","River Oaks Police Department","Police","The River Oaks Police Department has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015859","TX0141800ALPR","Salado","Bell County","TX","Salado Police Department","Police","The Salado Police Department has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015860","TX0610000ALPR","Denton","Denton County","TX","Denton County Sheriff's Office","Sheriff","The Denton County Sheriff's Office has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015861","XX0000117ALPR","Dallas","Dallas County","TX","Methodist Health System Police Department - Dallas Medical Center","Police","The Methodist Health System Police Department - Dallas Medical Center has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Health System","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015862","MI4620200ALPR","Adrian","Lenawee County","MI","Adrian Police Department","Police","The Adrian Police Department has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015863","KS0080500ALPR","Andover","Butler County","KS","Andover Police Department","Police","The Andover Police Department has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015864","TX2270200ALPR","Manor","Travis County","TX","Manor Police Department","Police","The Manor Police Department has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015865","TX2202500ALPR","Sansom Park","Tarrant County","TX","Sansom Park Police Department","Police","The Sansom Park Police Department has installed 10 Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015866","NM0240300ALPR","Bloomfield","San Juan County","NM","Bloomfield Police Department","Police","The Bloomfield Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015867","TX2201400ALPR","Haltom City","Tarrant County","TX","Haltom City Police Department","Police","The Haltom City Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015868","TX1700000ALPR","Conroe","Montgomery County","TX","Montgomery County Sheriff's Office","Sheriff","The Montgomery County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","https://www.chron.com/neighborhood/woodlands/news/article/License-plate-readers-OK-d-by-Shenandoah-council-12725884.php","","Houston Chronicle","","03/03/2018","","","","","",""
"AOS015869","TX0200000ALPR","Angleton","Brazoria County","TX","Brazoria County Sheriff's Office","Sheriff","The Brazoria County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015870","KY0150000ALPR","Shepherdsville","Bullitt County","KY","Bullitt County Sheriff's Office","Sheriff","The Bullitt County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","https://www.pmg-ky1.com/spencer_magnet/spencer-county-purchases-2-flock-cameras-to-increase-safety/article_2493418b-354f-5c00-b48e-f232d47c5184.html","","Spencer Magnet","","3/21/2024","","","","","",""
"AOS015871","XX0000116ALPR","Dallas","Dallas County","TX","Methodist Health System Police Department - Charlton Medical Center","Police","The Methodist Health System Police Department - Charlton Medical Center uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Health System","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015872","TX0720400ALPR","Stephenville","Erath County","TX","Tarleton State University Police Department","Police","The Tarleton State University Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","University","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015873","TX0203200ALPR","Alvin","Brazoria County","TX","Alvin ISD Police Department","Police","The Alvin ISD Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","School District","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015874","TX1290900ALPR","Crandall","Kaufman County","TX","Crandall Police Department","Police","The Crandall Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015875","TX2410100ALPR","El Campo","Wharton County","TX","El Campo Police Department","Police","The El Campo Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015876","TX0612800ALPR","Hickory Creek","Denton County","TX","Hickory Creek Police Department","Police","The Hickory Creek Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015877","TX1290400ALPR","Mabank","Kaufman County","TX","Mabank Police Department","Police","The Mabank Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015878","AR0610100ALPR","Pocahontas","Randolph County","AR","Pocahontas Police Department","Police","The Pocahontas Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015879","TX0190500ALPR","Texarkana","Miller County","AR","Texarkana Police Department","Police","The Texarkana Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025. The Texas Motor Vehicle Crime Prevention Authority gave the Texarkana Police Department a grant to purchase automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","",""
"AOS015880","TX2470000ALPR","Floresville","Wilson County","TX","Wilson County Sheriff's Office","Sheriff","The Wilson County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025. Previously, the Texas Motor Vehicle Crime Prevention Authority gave the Wilson County Sheriff’s Office a grant to purchase automated license plate readers in 2022.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","",""
"AOS015881","TX2480000ALPR","Kermit","Winkler County","TX","Winkler County Sheriff's Office","Sheriff","The Winkler County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015882","TX1870000ALPR","Livingston","Polk County","TX","Polk County Sheriff's Office","Sheriff","The Polk County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015883","XX0000115ALPR","Mansfield","Tarrant County","TX","Methodist Health System Police Department - Mansfield Medical Center","Police","The Methodist Health System Police Department - Mansfield Medical Center uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Health System","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015884","TX1018500ALPR","Houston","Harris County","TX","Galena Park ISD Security Department","Police","The Galena Park ISD Security Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","School District","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015885","TX1014200ALPR","Houston","Harris County","TX","University of Houston Downtown Police Department","Police","The University of Houston Downtown Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","University","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015886","XX0000114ALPR","Savannah","Denton County","TX","Elm Ridge Police Department","Police","The Elm Ridge Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Water District","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015887","TX0610400ALPR","Krum","Denton County","TX","Krum Police Department","Police","The Krum Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015888","TX0152200ALPR","Selma","Bexar County","TX","Selma Police Department","Police","The Selma Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015889","TX2370200ALPR","Waller","Waller County","TX","Waller Police Department","Police","The Waller Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015890","TX2380100ALPR","Monahans","Winkler County","TX","Monahans Police Department","Police","The Monahans Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015891","AR0040000ALPR","Bentonville","Benton County","AR","Benton County Sheriff's Office","Sheriff","The Benton County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015892","TX2200000ALPR","Fort Worth","Tarrant County","TX","Tarrant County Sheriff's Office","Sheriff","The Tarrant County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015893","XX0000113ALPR","Midlothian","Ellis County","TX","Methodist Health System Police Department - Midlothian Medical Center","Police","The Methodist Health System Police Department - Midlothian Medical Center uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Health System","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015894","TX0791200ALPR","Arcola","Fort Bend County","TX","Arcola Police Department","Police","The Arcola Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015895","TX0150500ALPR","Converse","Bexar County","TX","Converse Police Department","Police","The Converse Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015896","TX2200600ALPR","Crowley","Tarrant County","TX","Crowley Police Department","Police","The Crowley Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015897","TX2200700ALPR","Dalworthington Gardens","Tarrant County","TX","Dalworthington Gardens Police Department","Police","The Dalworthington Gardens Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015898","TX1710100ALPR","Dumas","Moore County","TX","Dumas Police Department","Police","The Dumas Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015899","TX1070700ALPR","Gun Barrel City","Henderson County","TX","Gun Barrel CityPolice Department","Police","The Gun Barrel CityPolice Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015900","TX2470700ALPR","La Vernia","Wilson County","TX","La Vernia Police Department","Police","The La Vernia Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015901","TX2201900ALPR","Lake Worth","Tarrant County","TX","Lake Worth Police Department","Police","The Lake Worth Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015902","TX1870200ALPR","Livingston","Polk County","TX","Livingston Police Department","Police","The Livingston Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015903","TX2203100ALPR","Pantego","Tarrant County","TX","Pantego Police Department","Police","The Pantego Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015904","TX1391000ALPR","Reno","Lamar County","TX","Reno Police Department","Police","The Reno Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015905","TX1701400ALPR","Willis","Montgomery County","TX","Willis Police Department","Police","The Willis Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015906","TX0910400ALPR","Sherman","Grayson County","TX","Sherman Police Department","Police","The Sherman Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015907","IN0250000ALPR","Rochester","Fulton County","IN","Fulton County Sheriff's Office","Sheriff","The Fulton County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015908","KS0630100ALPR","Coffeyville","Montgomery County","KS","Coffeyville Police Department","Police","The Coffeyville Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015909","TX0570800ALPR","DeSoto","Dallas County","TX","DeSoto Police Department","Police","The DeSoto Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015910","TX0840500ALPR","Hitchcock","Galveston County","TX","Hitchcock Police Department","Police","The Hitchcock Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
